# Copyright (c) 1966-2024 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2024-01-05
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr17	1	10800000	17p13		608631	ASPG2	Asperger syndrome, susceptibility to, 2		431711		breakpoints between CHRNE and GP1BA	{Asperger syndrome susceptibility 2}, 608631 (2), Multifactorial, Isolated cases	
chr17	1	3400000	17p13.3		113721	BCPR	Breast cancer-related regulator of TP53					Breast cancer (1)	
chr17	1	10800000	17p13		601202	CTRCT24, CTAA2	Cataract 24, anterior polar		1484			Cataract 24, anterior polar, 601202 (2), Autosomal dominant	
chr17	1	3400000	17p13.3		615674	DDD3	Dowling-Degos disease 3		102997065		max lod at D17S1529	Dowling-Degos disease 3, 615674 (2), Autosomal dominant	
chr17	1	3400000	17p13.3		613215	DUP17p13.3, C17DUPp13.3	Chromosome 17p13.3 duplication syndrome				includes LIS1 and/or YWHAE	Chromosome 17p13.3 duplication syndrome, 613215 (4)	
chr17	1	3400000	17p13.3		247200	MDLS, MDS, MDCR, DEL17p13.3, C17DELp13.3	Miller-Dieker lissencephaly syndrome (chromosome 17p13.3 deletion syndrome)					Miller-Dieker lissencephaly syndrome, 247200 (4), Autosomal dominant	
chr17	1	10800000	17p13		605779	NDNC7	Nail disorder, nonsyndromic congenital, 7 (onychodysplasia, isolated congenital)		81866			Nail disorder, nonsyndromic congenital, 7, 605779 (2), Autosomal dominant	
chr17	1	10800000	17p13.3-p13.1		612576	SHFLD3, DUP17p13.3, C17DUPp13.3	Split-hand/foot malformation with long bone deficiency 3				max lod at or near D17S1533; contiguous gene duplication syndrome	Split-hand/foot malformation with long bone deficiency 3, 612576 (4), Autosomal dominant	
chr17	1	10800000	17p13		613498	SXGQTL1	Sex hormone-binding globulin circulating level quantitative trait locus 1		100528025		associated with rs1799941	[Sex hormone-binding globulin circulating level QTL 1], 613498 (2)	
chr17	142789	181650	17p13.3	17p13.3	604568	DOC2B	Double C2-like domain-containing protein, beta	DOC2B	8447	ENSG00000272636			Doc2b (MGI:1100497)
chr17	212389	352807	17p13.3	17p13.3	604881	RPH3AL, NOC2	Rabphilin 3A-like	RPH3AL	9501	ENSG00000181031			Rph3al (MGI:1923492)
chr17	439978	445940	17p13.3	17p13.3	615928	RFLNB, FAM101B, CFM1	Refilin B	RFLNB	359845	ENSG00000183688			Rflnb (MGI:1923816)
chr17	508668	714839	17p13.3	17p13.3	615850	VPS53, HCCS1, PCH2E	VPS53 subunit of GARP complex	VPS53	55275	ENSG00000141252		Pontocerebellar hypoplasia, type 2E, 615851 (3), Autosomal recessive	Vps53 (MGI:1915549)
chr17	732596	742968	17p13.3	17p13.3	611627	TLCD3A, FAM57A, CT120	TLC domain-containing protein 3A	TLCD3A	79850	ENSG00000167695			Tlcd3a (MGI:2151840)
chr17	744421	754410	17p13.3	17p13.3	606969	GEMIN4, NEDMCR	Neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities	GEMIN4	50628	ENSG00000179409		Neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities, 617913 (3), Autosomal recessive	Gemin4 (MGI:2449313)
chr17	759330	785895	17p13.3	17p13.3	620650	GLOD4, C17orf25	Glyoxalase domain-containing protein 4	GLOD4	51031	ENSG00000167699			Glod4 (MGI:1914451)
chr17	782353	792509	17p13.3	17p13.3	612600	RNMTL1, HC90	RNA methyltransferase-like 1	MRM3	55178	ENSG00000171861			Mrm3 (MGI:1914640)
chr17	799310	979776	17p13.3	17p13.3	612895	NXN, RRS2	Nucleoredoxin	NXN	64359	ENSG00000167693		Robinow syndrome, autosomal recessive 2, 618529 (3), Autosomal recessive	Nxn (MGI:109331)
chr17	997129	1003671	17p13.3	17p13.3	607251	TIMM22, TIM22, COXPD43	Translocase of inner mitochondrial membrane 22	TIMM22	29928	ENSG00000177370	mutation identified in 1 COXPD43 patient	?Combined oxidative phosphorylation deficiency 43, 618851 (3), Autosomal recessive	Timm22 (MGI:1929742)
chr17	1003519	1229722	17p13.3	17p13.3	600365	ABR	ABR activator of RhoGEF and GTPase	ABR	29	ENSG00000159842			Abr (MGI:107771)
chr17	1270444	1271815	17p13.3	17p13.3	615416	BHLHA9, BHLHF42, MSSD, CCSPD	Basic helix-loop-helix family, member A9	BHLHA9	727857	ENSG00000205899	mutation identified in 1 CCSPD family	?Camptosynpolydactyly, complex, 607539 (3), Autosomal recessive; Syndactyly, mesoaxial synostotic, with phalangeal reduction, 609432 (3), Autosomal recessive	Bhlha9 (MGI:2444198)
chr17	1279662	1300978	17p13.3	17p13.3	612211	TUSC5, LOST1	Tumor suppressor candidate 5	TRARG1	286753	ENSG00000184811			Trarg1 (MGI:3029307)
chr17	1344275	1400222	17p13.3	17p13.3	605066	YWHAE, MDCR, MDS	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon isoform	YWHAE	7531	ENSG00000108953			Ywhae (MGI:894689)
chr17	1420693	1456232	17p13.3	17p13.3	164762	CRK	Avian sarcoma virus CT10 (v-crk) oncogene homolog	CRK	1398	ENSG00000167193			Crk (MGI:88508)
chr17	1464186	1492686	17p13	17p13.3	606538	MYO1C	Myosin IC	MYO1C	4641	ENSG00000197879			Myo1c (MGI:106612)
chr17	1494577	1516612	17p13.3	17p13.3	607875	INPP5K, SKIP, MDCCAID	Inositol polyphosphate-5-phosphatase K	INPP5K	51763	ENSG00000132376		Muscular dystrophy, congenital, with cataracts and intellectual disability, 617404 (3), Autosomal recessive	Inpp5k (MGI:1194899)
chr17	1517718	1562792	17p13.3	17p13.3	600174	PITPNA, PITPN	Phosphotidylinositol transfer protein, alpha	PITPNA	5306	ENSG00000174238			Pitpna (MGI:99887)
chr17	1569254	1630088	17p13.3	17p13.3	610791	SLC43A2, LAT4	Solute carrier family 43 (L-type amino acid transporter, member 2)	SLC43A2	124935	ENSG00000167703			Slc43a2 (MGI:2442746)
chr17	1633858	1645732	17p13.3	17p13.3	607873	SCARF1, SREC, KIAA0149	Scavenger receptor class F, member 1	SCARF1	8578	ENSG00000074660			Scarf1 (MGI:2449455)
chr17	1646150	1649866	17p13.3	17p13.3	607848	RILP	RAB-interacting lysosomal protein	RILP	83547	ENSG00000167705			Rilp (MGI:2144271)
chr17	1650629	1684867	17p13.3	17p13.3	607300	PRPF8, PRPC8, RP13	Pre-mRNA processing factor 8	PRPF8	10594	ENSG00000174231		Retinitis pigmentosa 13, 600059 (3), Autosomal dominant	Prpf8 (MGI:2179381)
chr17	1713903	1713987	17p13.3	17p13.3	612077	MIR22, MIRN22	Micro RNA 22	MIR22	407004	ENSG00000283824			Mir22 (MGI:2676896)
chr17	1716523	1738585	17p13.3	17p13.3	614218	WDR81, CAMRQ2, HYC3	WD repeat-containing protein 81	WDR81	124997	ENSG00000167716		Cerebellar ataxia, impaired intellectual development, and dysquilibrium syndrome 2, 610185 (3), Autosomal recessive; Hydrocephalus, congenital, 3, with brain anomalies, 617967 (3), Autosomal recessive	Wdr81 (MGI:2681828)
chr17	1742871	1755265	17pter-p12	17p13.3	613168	PLI, SERPINF2	Alpha-2-plasmin inhibitor	SERPINF2	5345	ENSG00000167711		Alpha-2-plasmin inhibitor deficiency, 262850 (3), Autosomal recessive	Serpinf2 (MGI:107173)
chr17	1762060	1777565	17p13.3	17p13.3	172860	SERPINF1, PEDF, OI6	Serpin peptidase inhibitor, clade F, member 1	SERPINF1	5176	ENSG00000132386	same region as RP13	Osteogenesis imperfecta, type VI, 613982 (3), Autosomal recessive	Serpinf1 (MGI:108080)
chr17	1779485	1829902	17p13.3	17p13.3	619134	SMYD4	SET and MYND domain-containing protein 4	SMYD4	114826	ENSG00000186532			Smyd4 (MGI:2442796)
chr17	1830005	1900082	17p13.3	17p13.3	179835	RPA1, PFBMFT6	Replication protein A1, 70kD	RPA1	6117	ENSG00000132383		Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 6, 619767 (3), Autosomal dominant	Rpa1 (MGI:1915525)
chr17	1934677	2025334	17p13.3	17p13.3	610461	RTN4RL1, NGRH2, NGR3	Reticulon 4 receptor-like 1	RTN4RL1	146760	ENSG00000185924			Rtn4rl1 (MGI:2661375)
chr17	2030112	2043898	17p13.3	17p13.3	603527	DPH1, DPH2L1, OVCA1, DEDSSH	Diphthamide biosynthesis protein 1	DPH1	1801	ENSG00000108963		Developmental delay with short stature, dysmorphic facial features, and sparse hair, 616901 (3), Autosomal recessive	Dph1 (MGI:2151233)
chr17	2042022	2043425	17p13.3	17p13.3	607896	OVCA2	OVCA2 serine hydrolase domain-containing protein	OVCA2	124641	ENSG00000262664			Ovca2 (MGI:2179725)
chr17	2049908	2050008	17p13.3	17p13.3	610016	MIR132, MIRN132	Micro RNA 132	MIR132	406921	ENSG00000267200			Mir132 (MGI:2676817)
chr17	2050271	2050380	17p13.3	17p13.3	613487	MIR212, MIRN212	Micro RNA 212	MIR212	406994	ENSG00000267195			Mir212 (MGI:2676888)
chr17	2055103	2063241	17p13.3	17p13.3	603825	HIC1	Hypermethylated in cancer	HIC1	3090	ENSG00000177374			Hic1 (MGI:1338010)
chr17	2059839	2303785	17p13.3	17p13.3	610963	SMG6, EST1A, KIAA0732	SMG6 nonsense-mediated mRNA decay factor	SMG6	23293	ENSG00000070366			Smg6 (MGI:2144117)
chr17	2303378	2325264	17p13.3	17p13.3	606477	SRR	Serine racemase	SRR	63826	ENSG00000167720			Srr (MGI:1351636)
chr17	2322396	2336457	17p13.3	17p13.3	611214	TSR1, KIAA1401	TSR1, 20S r RNA accumulation, S. cerevisiae, homolog of	TSR1	55720	ENSG00000167721			Tsr1 (MGI:2144566)
chr17	2337501	2381054	17p13.3	17p13.3	611418	SGSM2, KIAA0397	Small G protein signaling modulator 2	SGSM2	9905	ENSG00000141258			Sgsm2 (MGI:2144695)
chr17	2384073	2401060	17p13.3	17p13.3	603039	MNT, ROX	MAX network transcriptional repressor	MNT	4335	ENSG00000070444			Mnt (MGI:109150)
